pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-5918-781a56d3-5962-432c-ba44-6242e1f21b8a,facing-5918-781a56d3-5962-432c-ba44-6242e1f21b8a,copying-5918-781a56d3-5962-432c-ba44-6242e1f21b8a,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,124,visible,337.42699999999996,172.607,2.125,328,0.34,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,125,visible,336.301,170.805,2.125,328,0.38,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,126,visible,335.175,169.003,2.125,328,0.41,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,127,visible,331.399,162.961,7.125,328,0.44,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,128,visible,330.273,161.159,2.125,328,0.53,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,129,visible,329.147,159.357,2.125,328,0.56,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,130,visible,325.371,153.315,7.125,328,0.5700000000000001,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,131,visible,324.245,151.513,2.125,328,0.65,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,132,visible,323.119,149.711,2.125,328,0.6699999999999999,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,133,visible,321.993,147.909,2.125,328,0.7,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
