pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-5035-bcbed37d-ac8d-4392-8752-751036a4e898,facing-5035-bcbed37d-ac8d-4392-8752-751036a4e898,copying-5035-bcbed37d-ac8d-4392-8752-751036a4e898,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
5035-bcbed37d-ac8d-4392-8752-751036a4e898,55,visible,156.648,99.72399999999999,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,56,visible,154.555,99.355,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,57,visible,152.46200000000002,98.986,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,58,visible,150.369,98.617,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,59,visible,148.276,98.24799999999999,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,60,visible,146.183,97.87899999999999,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,61,visible,144.09,97.51,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,62,visible,141.997,97.141,2.125,280,1.0,0.57,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,63,visible,139.904,96.772,2.125,280,1.0,0.57,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,64,visible,137.811,96.40299999999999,2.125,280,1.0,0.57,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,65,visible,135.718,96.03399999999999,2.125,280,1.0,0.57,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,66,visible,133.625,95.665,2.125,280,1.0,0.57,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,67,visible,131.532,95.296,2.125,280,1.0,0.57,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,68,visible,129.439,94.927,2.125,280,1.0,0.58,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,69,visible,127.346,94.55799999999999,2.125,280,1.0,0.58,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,70,visible,125.25299999999999,94.189,2.125,280,1.0,0.58,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,71,visible,123.16,93.82,2.125,280,0.95,0.58,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,72,visible,121.06700000000001,93.45100000000001,2.125,280,0.93,0.58,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,73,visible,118.97399999999999,93.08200000000001,2.125,280,0.92,0.58,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,74,visible,116.881,92.713,2.125,280,0.93,0.58,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,75,visible,114.788,92.344,2.125,280,0.91,0.58,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,76,visible,112.695,91.975,2.125,280,0.86,0.58,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,77,visible,110.602,91.60600000000001,2.125,280,0.86,0.58,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,78,visible,108.509,91.23700000000001,2.125,280,0.88,0.58,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,79,visible,106.416,90.868,2.125,280,0.89,0.58,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,80,visible,104.57600000000001,91.93,2.125,240,0.87,0.58,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,81,visible,103.84899999999999,93.927,2.125,200,0.89,0.58,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,82,visible,104.57600000000001,95.92399999999999,2.125,160,0.86,0.58,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
