pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,facing-3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,copying-3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,66,visible,371.44699999999995,229.613,2.125,116,0.010000000000000007,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,67,visible,373.35699999999997,230.545,2.125,116,0.0,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,68,visible,375.267,231.477,2.125,116,0.0,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,69,visible,377.17699999999996,232.40900000000002,2.125,116,0.010000000000000007,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,70,visible,379.087,233.34099999999998,2.125,116,0.010000000000000007,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,71,visible,380.99699999999996,234.273,2.125,116,0.020000000000000014,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,72,visible,382.907,235.205,2.125,116,0.030000000000000027,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,73,visible,384.81699999999995,236.137,2.125,116,0.020000000000000014,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,74,visible,386.727,237.06900000000002,2.125,116,0.010000000000000007,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,75,visible,388.63699999999994,238.00099999999998,2.125,116,0.010000000000000007,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,76,visible,390.54699999999997,238.933,2.125,116,0.0,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,77,visible,392.457,239.865,2.125,116,0.0,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,78,visible,394.36699999999996,240.797,2.125,116,0.0,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,79,visible,396.277,241.729,2.125,116,0.010000000000000007,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,80,visible,398.18699999999995,242.66099999999997,2.125,116,0.020000000000000014,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,81,visible,400.097,243.593,2.125,116,0.020000000000000014,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,82,visible,402.00699999999995,244.525,2.125,116,0.030000000000000027,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,83,visible,403.917,245.457,2.125,116,0.030000000000000027,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,84,visible,405.827,246.389,2.125,116,0.040000000000000036,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,85,visible,407.73699999999997,247.321,2.125,116,0.020000000000000014,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,86,visible,409.647,248.253,2.125,116,0.030000000000000027,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,87,visible,411.55699999999996,249.185,2.125,116,0.040000000000000036,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,88,visible,413.467,250.11700000000002,2.125,116,0.020000000000000014,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,89,visible,415.45099999999996,250.87900000000002,2.125,111,0.010000000000000007,0.61,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,90,visible,417.46,250.187,2.125,71,0.010000000000000007,0.61,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,91,visible,419.469,249.495,2.125,71,0.030000000000000027,0.61,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,92,visible,421.32800000000003,248.465,2.125,61,0.05000000000000005,0.61,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,93,visible,422.42199999999997,246.644,2.125,31,0.06999999999999995,0.61,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,94,visible,423.51599999999996,244.82299999999998,2.125,31,0.06999999999999995,0.61,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,95,visible,423.921,242.737,2.125,11,0.06999999999999995,0.61,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,96,visible,423.773,240.61700000000002,2.125,356,0.08999999999999997,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,97,visible,423.625,238.497,2.125,356,0.09999999999999998,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,98,visible,423.477,236.377,2.125,356,0.08999999999999997,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,99,visible,423.329,234.257,2.125,356,0.07999999999999996,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,100,visible,422.465,232.31599999999997,2.125,336,0.08999999999999997,0.61,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,101,visible,420.644,231.222,2.125,301,0.11,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,102,visible,418.82300000000004,230.128,2.125,301,0.13,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,103,visible,417.00199999999995,229.03400000000002,2.125,301,0.13,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,104,visible,415.181,227.94,2.125,301,0.12,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,105,visible,413.36,226.84599999999998,2.125,301,0.13,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,106,visible,411.539,225.752,2.125,301,0.12,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,107,visible,409.718,224.658,2.125,301,0.13,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,108,visible,407.897,223.56400000000002,2.125,301,0.14,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,109,visible,406.07599999999996,222.47,2.125,301,0.15000000000000002,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,110,visible,404.255,221.37599999999998,2.125,301,0.15000000000000002,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,111,visible,402.434,220.282,2.125,301,0.15000000000000002,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,112,visible,400.61300000000006,219.188,2.125,301,0.15000000000000002,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,113,visible,398.792,218.09400000000002,2.125,301,0.15000000000000002,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,114,visible,396.971,217.0,2.125,301,0.14,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,115,visible,395.15,215.90599999999998,2.125,301,0.15000000000000002,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,116,visible,393.329,214.812,2.125,301,0.15000000000000002,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,117,visible,391.50800000000004,213.718,2.125,301,0.15000000000000002,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,118,visible,389.68699999999995,212.62400000000002,2.125,301,0.14,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,119,visible,387.866,211.53,2.125,301,0.15000000000000002,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,120,visible,386.045,210.43599999999998,2.125,301,0.14,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,121,visible,384.224,209.342,2.125,301,0.15000000000000002,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,122,visible,382.403,208.248,2.125,301,0.14,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,123,visible,380.582,207.15400000000002,2.125,301,0.15000000000000002,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,124,visible,378.76099999999997,206.06,2.125,301,0.16000000000000006,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,125,visible,376.94,204.96599999999998,2.125,301,0.16000000000000006,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,126,visible,375.119,203.872,2.125,301,0.16000000000000006,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,127,visible,373.298,202.778,2.125,301,0.16000000000000006,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,128,visible,371.477,201.68400000000003,2.125,301,0.14,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,129,visible,369.656,200.59,2.125,301,0.13,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,130,visible,367.835,199.49599999999998,2.125,301,0.14,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,131,visible,366.014,198.40200000000002,2.125,301,0.12,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,132,visible,364.19300000000004,197.308,2.125,301,0.13,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,133,visible,362.37199999999996,196.21400000000003,2.125,301,0.14,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,134,visible,360.329,195.628,2.125,286,0.16000000000000006,0.61,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,135,visible,358.32,196.32,2.125,251,0.17000000000000004,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
