pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-9467-645a1356-9588-4f00-aeef-0adf33505a0f,facing-9467-645a1356-9588-4f00-aeef-0adf33505a0f,copying-9467-645a1356-9588-4f00-aeef-0adf33505a0f,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
9467-645a1356-9588-4f00-aeef-0adf33505a0f,50,visible,130.57299999999998,72.64,2.125,44,0.89,0.42,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,51,visible,132.049,71.111,2.125,44,0.92,0.42,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,52,visible,133.525,69.582,2.125,44,0.87,0.42,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,53,visible,135.001,68.053,2.125,44,0.8,0.42,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,54,visible,135.149,65.933,2.125,4,0.76,0.42,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,55,visible,135.297,63.813,2.125,4,0.76,0.42,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,56,visible,134.048,62.093999999999994,2.125,324,0.75,0.42,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,57,visible,132.799,60.375,2.125,324,0.6799999999999999,0.42,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,58,visible,131.55,58.656000000000006,2.125,324,0.65,0.42,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,59,visible,130.78799999999998,56.672,2.125,339,0.69,0.42,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,60,visible,131.12,54.573,2.125,9,0.63,0.42,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,61,visible,132.15,52.714,2.125,29,0.6599999999999999,0.42,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,62,visible,133.487,51.063,2.125,39,0.65,0.42,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,63,visible,135.471,50.301,2.125,69,0.64,0.42,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
