pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,facing-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,copying-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,103,visible,82.48299999999999,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,104,visible,80.808,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,105,visible,79.133,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,106,visible,77.458,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,107,visible,75.783,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,108,visible,74.108,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,109,visible,72.433,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,110,visible,70.758,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,111,visible,69.083,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,112,visible,67.408,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,113,visible,65.733,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,114,visible,64.058,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,115,visible,62.383,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,116,visible,60.708,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,117,visible,59.033,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
