pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,facing-3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,copying-3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,113,visible,352.908,121.93799999999999,2.125,188,0.6,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,114,visible,352.61199999999997,124.042,2.125,188,0.6,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,115,visible,352.316,126.146,2.125,188,0.5800000000000001,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,116,visible,352.02,128.25,2.125,188,0.5700000000000001,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,117,visible,351.724,130.35399999999998,2.125,188,0.56,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,118,visible,351.42800000000005,132.458,2.125,188,0.51,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,119,visible,351.13199999999995,134.562,2.125,188,0.5900000000000001,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,120,visible,350.836,136.666,2.125,188,0.6699999999999999,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,121,visible,350.54,138.77,2.125,188,0.75,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,122,visible,350.244,140.874,2.125,188,0.74,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,123,visible,349.94800000000004,142.97799999999998,2.125,188,0.8,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,124,visible,349.652,145.082,2.125,188,0.79,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,125,visible,349.356,147.186,2.125,188,0.83,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,126,visible,349.06,149.29,2.125,188,0.77,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,127,visible,348.764,151.394,2.125,188,0.81,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,128,visible,348.468,153.498,2.125,188,0.76,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,129,visible,348.17199999999997,155.602,2.125,188,0.73,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,130,visible,347.876,157.70600000000002,2.125,188,0.46,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,131,visible,347.58,159.81,2.125,188,0.4300000000000001,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,132,visible,347.284,161.914,2.125,188,0.35,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,133,visible,346.98800000000006,164.018,2.125,188,0.25,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
