pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,facing-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,copying-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,71,visible,252.046,130.093,2.125,201,0.38,0.03,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,72,visible,252.19400000000002,132.213,2.125,176,0.23,0.03,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,73,visible,252.342,134.333,2.125,176,0.22,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,74,visible,252.49,136.453,2.125,176,0.27,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,75,visible,252.638,138.57299999999998,2.125,176,0.25,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,76,visible,252.78599999999997,140.69299999999998,2.125,176,0.2,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,77,visible,252.93400000000003,142.813,2.125,176,0.13,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,78,visible,253.082,144.933,2.125,176,0.06999999999999995,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,79,visible,253.23,147.053,2.125,176,0.05000000000000005,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,80,visible,253.378,149.173,2.125,176,0.15000000000000002,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,81,visible,253.52599999999998,151.293,2.125,176,0.24,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,82,visible,253.674,153.41299999999998,2.125,176,0.31999999999999995,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,83,visible,253.822,155.533,2.125,176,0.39,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,84,visible,253.97,157.653,2.125,176,0.54,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,85,visible,254.118,159.773,2.125,176,0.65,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,86,visible,254.266,161.893,2.125,176,0.79,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,87,visible,254.41400000000002,164.013,2.125,176,0.86,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
