pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y,on_wall,in_close,in_far,round,round_type,bg_cond,close_cond,sim_num
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,113,visible,257.792,114.061,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,114,visible,256.455,115.712,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,115,visible,255.118,117.363,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,116,visible,253.781,119.014,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,117,visible,252.444,120.665,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,118,visible,251.107,122.316,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,119,visible,249.77,123.967,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,120,visible,248.433,125.618,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,121,visible,247.096,127.269,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,122,visible,245.759,128.92,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,123,visible,244.422,130.571,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,124,visible,243.085,132.222,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,125,visible,241.748,133.873,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,126,visible,240.411,135.524,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,127,visible,239.074,137.175,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,128,visible,237.737,138.826,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,129,visible,236.4,140.477,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,130,visible,235.063,142.128,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,131,visible,233.726,143.779,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,132,visible,232.389,145.43,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,133,visible,231.052,147.081,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,134,visible,229.715,148.732,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,135,visible,228.378,150.383,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,136,visible,227.041,152.034,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,137,visible,225.704,153.685,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,138,visible,224.367,155.336,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,139,visible,223.03,156.987,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,140,visible,221.693,158.638,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,141,visible,220.356,160.289,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,142,visible,219.019,161.94,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,143,visible,217.682,163.591,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,144,visible,216.345,165.242,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,145,visible,215.008,166.893,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,146,visible,213.671,168.544,2.125,219,0,0.03,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,147,visible,215.065,170.148,2.125,139,0,0.03,0,269,228,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,148,visible,216.459,171.752,2.125,139,0,0.04,0,269,228,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,149,visible,217.853,173.356,2.125,139,0,0.04,0,269,228,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,150,visible,219.247,174.96,2.125,139,0,0.04,0,269,228,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,151,visible,220.641,176.564,2.125,139,0,0.04,0,269,228,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,152,visible,222.035,178.168,2.125,139,0,0.04,0,269,228,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,153,visible,223.429,179.772,2.125,139,0,0.04,0,269,228,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,154,visible,224.823,181.376,2.125,139,0,0.04,0,269,228,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,155,visible,226.217,182.98,2.125,139,0,0.04,0,269,228,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,156,visible,228.249,182.359,2.125,73,0,0.04,0,326,153,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,157,visible,230.281,181.738,2.125,73,0,0.04,0,326,153,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,158,visible,232.313,181.117,2.125,73,0,0.04,0,326,153,0,0,0,0,initialVisible1,wall,second,86
