pid,tick,latency
6598-d0c90d01-a279-4cce-8851-10c07513efe2,55,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,55,45.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,56,24.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,56,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,56,46.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,57,25.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,57,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,57,45.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,58,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,58,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,58,54
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,59,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,59,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,59,57.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,60,27.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,60,28
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,60,52.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,61,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,61,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,61,65.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,62,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,62,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,62,74.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,63,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,63,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,63,77.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,64,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,64,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,64,78
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,65,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,65,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,65,86.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,66,26
6598-d0c90d01-a279-4cce-8851-10c07513efe2,66,26.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,67,23
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,66,88.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,67,28
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,67,83
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,68,25.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,68,26
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,69,24
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,68,89
6598-d0c90d01-a279-4cce-8851-10c07513efe2,69,28
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,70,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,70,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,69,94
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,71,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,71,28
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,70,101
