pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,107,visible,362.773,93.454,2.125,145,0.26,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,107,visible,244.149,190.697,2.125,30,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,108,visible,363.992,95.195,2.125,145,0.26,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,108,visible,245.212,188.857,2.125,30,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,109,visible,365.832,96.257,2.125,120,0.22999999999999998,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,109,visible,243.846,187.229,2.125,320,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,110,visible,367.957,96.257,2.125,90,0.19999999999999996,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,110,visible,241.753,186.86,2.125,280,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,111,visible,369.698,95.038,2.125,55,0.15000000000000002,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,111,visible,239.913,187.923,2.125,240,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,112,visible,371.064,93.41,2.125,40,0.12,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,112,visible,239.186,189.92,2.125,200,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,113,visible,371.249,91.293,2.125,5,0.09999999999999998,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,113,visible,239.736,191.973,2.125,165,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,114,visible,370.03,89.552,2.125,325,0.07999999999999996,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,114,visible,241.477,193.192,2.125,125,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,115,visible,368.033,88.825,2.125,290,0.10999999999999999,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,115,visible,243.594,193.007,2.125,85,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,116,visible,366.036,89.552,2.125,250,0.14,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,116,visible,245.097,191.504,2.125,45,0.97,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,117,visible,364.039,90.279,2.125,250,0.20999999999999996,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,117,visible,245.282,189.387,2.125,5,0.97,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,118,visible,357.344,92.716,7.125,250,0.18999999999999995,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,118,visible,244.22,187.547,2.125,330,0.96,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,119,visible,350.649,95.153,7.125,250,0.33999999999999997,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,119,visible,242.223,186.82,2.125,290,0.95,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,120,visible,348.652,95.88,2.125,250,0.47,0.46
