pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y,in_close,in_far
2,54,true,226.271319162,219.806043951,7.125,159.908810295,0.2,,230,230,False,False
3,54,true,17.5856563882,38.6094257696,7.125,179.960903052,0.2,,17.7466234055,274.503269825,False,False
4,54,true,82.1212886989,276.710872864,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,55,true,194.339658958,170.657590224,7.125,238.146747358,0.2,,94,233,False,False
1,55,true,272.736156921,136.121372267,7.125,244.957035466,0.2,,29,250,False,False
2,55,true,228.718865584,226.497466933,7.125,159.908810295,0.2,,230,230,False,False
3,55,true,17.5905182774,45.7344241107,7.125,179.960903052,0.2,,17.7466234055,274.503269825,False,False
4,55,true,74.9968773719,276.802460217,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,56,true,188.287665751,174.417776818,7.125,238.146747358,0.2,,94,233,False,False
1,56,true,266.280973736,139.137368795,7.125,244.957035466,0.2,,29,250,False,False
2,56,true,229.448835569,228.493154488,2.125,159.908810295,0.2,,230,230,False,False
3,56,true,17.5953801666,52.8594224519,7.125,179.960903052,0.2,,17.7466234055,274.503269825,False,False
4,56,true,67.8724660449,276.894047571,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,57,true,182.235672544,178.177963412,7.125,238.146747358,0.2,,94,233,False,False
1,57,true,259.825790552,142.153365322,7.125,244.957035466,0.2,,29,250,False,False
2,57,true,222.324049209,228.548329893,7.125,269.556301836,0.2,,164,229,False,False
3,57,true,17.6002420557,59.9844207931,7.125,179.960903052,0.2,,17.7466234055,274.503269825,False,False
4,57,true,60.7480547178,276.985634924,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,58,true,176.183679337,181.938150006,7.125,238.146747358,0.2,,94,233,False,False
1,58,true,253.370607367,145.169361849,7.125,244.957035466,0.2,,29,250,False,False
2,58,true,215.199262849,228.603505298,7.125,269.556301836,0.2,,164,229,False,False
3,58,true,17.6051039449,67.1094191343,7.125,179.960903052,0.2,,17.7466234055,274.503269825,False,False
4,58,true,53.6236433908,277.077222277,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,59,true,170.13168613,185.698336601,7.125,238.146747358,0.2,,94,233,False,False
1,59,true,246.915424182,148.185358376,7.125,244.957035466,0.2,,29,250,False,False
2,59,true,208.074476489,228.658680702,7.125,269.556301836,0.2,,164,229,False,False
3,59,true,17.6099658341,74.2344174755,7.125,179.960903052,0.2,,17.7466234055,274.503269825,False,False
4,59,true,46.4992320638,277.168809631,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,60,true,164.079692923,189.458523195,7.125,238.146747358,0.2,,94,233,False,False
1,60,true,240.460240997,151.201354904,7.125,244.957035466,0.2,,29,250,False,False
2,60,true,200.949690129,228.713856107,7.125,269.556301836,0.2,,164,229,False,False
3,60,true,17.6148277233,81.3594158167,7.125,179.960903052,0.2,,17.7466234055,274.503269825,False,False
